epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1478.78,1.53309,3.07579,2.97544,0.73573,0.48106,0.58023,0.39514,1.28919,1.86512,2.74222,0.0670753,0.000332572,0.000332572
2,3757.07,1.28415,1.74752,2.56824,0.765,0.75576,0.79315,0.58295,1.07128,1.18477,2.52359,0.0340687,0.000659313,0.000659313
3,6337.15,1.11435,1.29257,2.43111,0.82367,0.79604,0.8374,0.64865,0.9461,0.95173,2.44086,0.00105556,0.000979454,0.000979454
4,8627.88,1.01101,1.0795,2.32571,0.842,0.83175,0.86601,0.69011,0.85028,0.81185,2.34469,0.0009703,0.0009703,0.0009703
5,11050.1,0.93196,0.9384,2.25979,0.84819,0.84094,0.87311,0.71143,0.79475,0.7365,2.28158,0.0009604,0.0009604,0.0009604
