epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10544.6,0.7364,0.65328,1.93024,0.91952,0.8914,0.93167,0.83085,0.53417,0.4337,1.89646,0.005842,0.005842,0.005842
44,10788.7,0.74478,0.66312,1.94885,0.913,0.90018,0.93179,0.83072,0.52786,0.44323,1.89594,0.005743,0.005743,0.005743
45,11032.4,0.73902,0.65484,1.94819,0.91164,0.90238,0.93191,0.8354,0.51767,0.43008,1.88397,0.005644,0.005644,0.005644
46,11277,0.73223,0.64923,1.92032,0.90747,0.90772,0.93155,0.83364,0.51894,0.43539,1.8783,0.005545,0.005545,0.005545
47,11521,0.72582,0.64317,1.91915,0.91427,0.89693,0.93206,0.83327,0.51583,0.43563,1.8809,0.005446,0.005446,0.005446
48,11764.6,0.72048,0.64224,1.91798,0.90891,0.90342,0.93367,0.83607,0.5137,0.43234,1.8744,0.005347,0.005347,0.005347
49,12008.8,0.72285,0.63955,1.94151,0.91828,0.89781,0.93167,0.83532,0.51844,0.42633,1.87057,0.005248,0.005248,0.005248
50,12252.2,0.71631,0.63637,1.93035,0.92395,0.8947,0.93454,0.83762,0.50963,0.42056,1.87279,0.005149,0.005149,0.005149
51,12498.2,0.71417,0.63356,1.91416,0.90899,0.90565,0.93138,0.83701,0.5081,0.42379,1.86952,0.00505,0.00505,0.00505
52,12744.9,0.71574,0.63159,1.92173,0.91212,0.89763,0.93269,0.83573,0.51125,0.42578,1.87405,0.004951,0.004951,0.004951
