400.9973449707031,94.0039291381836,90,90
399.648193359375,95.27850341796875,68,124
320.41778564453125,92.234375,102,128
179.62290954589844,90.03009033203125,154,114
53.826454162597656,94.00944519042969,176,106
190.56129455566406,90.94895935058594,150,116
326.275146484375,80.05607604980469,94,128
447.2584228515625,87.6795654296875,50,118
553.4996337890625,88.92890930175781,22,110
554.302001953125,91.1878662109375,18,112
447.77606201171875,96.11311340332031,50,114
353.64715576171875,89.96424865722656,84,118
237.239990234375,96.95975494384766,130,118
105.0303955078125,91.4720458984375,168,110
252.69708251953125,96.34356689453125,122,118
247.06814575195312,78.3919448852539,132,124
139.45919799804688,86.84556579589844,164,114
260.73931884765625,70.50320434570312,138,134
162.4769287109375,67.790771484375,168,120
226.46444702148438,82.08139038085938,144,122
360.0662841796875,75.0169448852539,84,136
448.85076904296875,71.45671844482422,42,130
537.0501708984375,63.14403533935547,10,120
582.2273559570312,58.7725830078125,0,116
526.1624755859375,69.03972625732422,12,122
487.36236572265625,125.79876708984375,34,110
439.9114685058594,120.11569213867188,50,110
356.9459228515625,125.5975341796875,88,118
345.6800537109375,42.867713928222656,96,144
229.69036865234375,35.502437591552734,166,138
127.02462768554688,126.73414611816406,172,106
55.63589859008789,136.49273681640625,180,98
95.21708679199219,41.82331466674805,180,122
212.36244201660156,78.89097595214844,148,122
298.0643310546875,90.37832641601562,114,128
358.96844482421875,93.85364532470703,82,126
393.19366455078125,125.83737182617188,76,110
432.23980712890625,55.880088806152344,52,136
497.96728515625,39.798316955566406,26,128
441.02142333984375,124.70697021484375,52,116
336.08087158203125,130.86659240722656,94,118
266.8365478515625,138.08486938476562,124,118
207.09266662597656,49.0915641784668,180,136
150.02296447753906,103.51797485351562,178,122
236.88629150390625,35.87640380859375,174,140
282.89093017578125,150.45535278320312,128,124
370.5491027832031,92.96096801757812,72,140
443.1627197265625,28.242538452148438,26,146
507.20697021484375,40.72138595581055,8,130
598.5305786132812,54.883522033691406,0,118
620.8802490234375,51.82333755493164,0,116
600.3072509765625,128.0437469482422,0,108
497.5208740234375,131.176025390625,14,118
382.891845703125,122.84326171875,54,138
276.43646240234375,99.29789733886719,158,138
237.1984100341797,149.79383850097656,162,124
108.7803726196289,120.94073486328125,180,114
274.9237976074219,146.237060546875,146,122
361.6968994140625,56.43463897705078,86,144
463.743896484375,56.892127990722656,18,140
476.2235107421875,139.54208374023438,20,112
543.67578125,58.12599182128906,0,128
488.70819091796875,139.2481689453125,16,118
